date,close,open,high,low,volume,fng_value,fng_classification,change_percent,next_change_percent
2020-11-18,17774.6,17662.3,18466.1,17258.9,233.43,91.0,Extreme Greed,0.64,0.16
2020-11-19,17803.5,17775.1,18166.0,17380.1,135.94,94.0,Extreme Greed,0.16,4.9
2020-11-20,18675.2,17805.5,18811.0,17758.4,134.42,86.0,Extreme Greed,4.9,0.06
2020-11-21,18687.2,18673.8,18966.0,18397.5,108.91,91.0,Extreme Greed,0.06,-1.47
2020-11-22,18412.9,18689.3,18751.5,17644.6,121.76,94.0,Extreme Greed,-1.47,-0.18
2020-11-23,18379.6,18428.1,18756.8,18016.0,127.35,90.0,Extreme Greed,-0.18,4.21
2020-11-24,19152.6,18394.6,19416.6,18074.8,180.79,88.0,Extreme Greed,4.21,-2.24
2020-11-25,18723.0,19151.5,19486.7,18527.7,146.12,94.0,Extreme Greed,-2.24,-8.34
2020-11-26,17162.0,18721.9,18894.9,16235.2,312.07,93.0,Extreme Greed,-8.34,-0.2
2020-11-27,17127.1,17160.9,17450.3,16481.6,138.8,86.0,Extreme Greed,-0.2,3.52
2020-11-28,17730.7,17142.6,17874.4,16874.4,95.2,87.0,Extreme Greed,3.52,2.57
2020-11-29,18185.5,17729.7,18336.3,17530.4,79.12,89.0,Extreme Greed,2.57,8.32
2020-11-30,19698.1,18186.0,19831.2,18186.0,185.59,88.0,Extreme Greed,8.32,-4.71
2020-12-01,18770.7,19697.8,19897.4,18257.0,208.72,95.0,Extreme Greed,-4.71,2.39
2020-12-02,19218.8,18767.9,19335.5,18346.7,91.92,92.0,Extreme Greed,2.39,1.12
2020-12-03,19433.3,19219.8,19596.6,18883.7,99.97,92.0,Extreme Greed,1.12,-3.99
2020-12-04,18658.1,19431.1,19529.5,18610.8,110.63,92.0,Extreme Greed,-3.99,2.62
2020-12-05,19146.5,18657.5,19172.7,18507.1,59.44,93.0,Extreme Greed,2.62,1.22
2020-12-06,19379.9,19146.0,19417.1,18873.0,54.56,95.0,Extreme Greed,1.22,-1.08
2020-12-07,19170.7,19368.4,19424.6,18908.8,61.98,94.0,Extreme Greed,-1.08,-4.4
2020-12-08,18326.6,19170.8,19288.6,18229.2,101.41,95.0,Extreme Greed,-4.4,1.2
2020-12-09,18546.0,18322.4,18637.9,17658.8,129.72,86.0,Extreme Greed,1.2,-1.61
